date,lat,lon,soil_water_monthly_wc,runoff_monthly_wc,rain_monthly_wc,accumswe_monthly_wc,pet_monthly_wc,deficit_monthly_wc,aet_monthly_wc,soil_water_monthly_bc,runoff_monthly_bc,rain_monthly_bc,accumswe_monthly_bc,pet_monthly_bc,deficit_monthly_bc,aet_monthly_bc
2020-01-16T05:14:31Z,45.023145,-110.2968457,109.20000000000002,0,0,244.2,0,0,0,139.7,0,0,192.1,0,0,0
2020-02-15T15:43:35Z,45.023145,-110.2968457,113.9,0,6,355.19999999999993,0,0,0,139.7,0,0,237.2,0,0,0
2020-03-17T02:12:39Z,45.023145,-110.2968457,127,55.8,21.9,337.30000000000007,0,0,0,139.7,137.4,17.2,155.5,0,0,0
2020-04-16T12:41:43Z,45.023145,-110.2968457,139.7,12.9,1.6999999999999997,462.8999999999999,0,0,0,139.7,109.4,24.9,114.7,0,0,0
2020-05-16T23:10:47Z,45.023145,-110.2968457,139.6,544.2,64.5,0,9.299999999999999,0,9.299999999999999,135.5,137.3,55.2,0,48.5,1.1,47.6
2020-06-16T09:39:51Z,45.023145,-110.2968457,132.40000000000003,104.80000000000001,125.19999999999999,0,62,3.5,58.2,135.9,62.6,124.4,0,67.3,1.2,66
2020-07-16T20:08:54Z,45.023145,-110.2968457,100.9,0,65.6,0,96.6,17.799999999999997,79.1,119.5,0,64.9,0,83.8,6.5,77
2020-08-16T06:37:58Z,45.023145,-110.2968457,87.2,0,30,0,77.8,21,56.89999999999999,99.5,0,37,0,68.2,11.7,57.1
2020-09-15T17:07:02Z,45.023145,-110.2968457,84.99999999999999,0,77.9,0,39.9,7.800000000000001,32.3,86.8,0,46.3,39.9,46.5,14.3,32
2020-10-16T03:36:06Z,45.023145,-110.2968457,128.8,22,55.400000000000006,1.6,20.9,1.1,20.1,133.3,12.9,8.9,41.5,5.3,0,5.3
2020-11-15T14:05:10Z,45.023145,-110.2968457,139.7,28.700000000000003,28.700000000000003,91.20000000000002,0,0,0,139.7,40.6,19.4,57.5,0,0,0
2020-12-16T00:34:14Z,45.023145,-110.2968457,139.7,0,0,186.4,0,0,0,139.7,0,0,90.8,0,0,0
2021-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,275.9,0,0,0,139.7,0,0,168.8,0,0,0
2021-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0.5,0.5,356.3,0,0,0,139.7,0,0,260.5,0,0,0
2021-03-18T02:12:39Z,45.023145,-110.2968457,139.7,30.8,14,405.19999999999993,0,0,0,139.7,58.8,8.2,306.4,0,0,0
2021-04-17T12:41:43Z,45.023145,-110.2968457,139.7,382.8,82.1,177.10000000000002,0,0,0,139.7,140.2,28.3,228,0,0,0
2021-05-17T23:10:47Z,45.023145,-110.2968457,138.5,215.50000000000006,49.7,0,41.4,0.2,41.1,139.1,286.2,58.2,0.4,15.6,0.1,15.6
2021-06-17T09:39:51Z,45.023145,-110.2968457,132.2,36.9,52.29999999999998,0,59.8,1.6,58.3,134.7,79.9,111.8,0,58.1,1.4,56.7
2021-07-17T20:08:54Z,45.023145,-110.2968457,131.6,23.9,102,0,88.6,2.9,85.4,124.3,0,76.8,0,85.5,5.3,80
2021-08-17T06:37:58Z,45.023145,-110.2968457,99.9,0,35.9,0,81.1,12.6,68.5,127,0,62.6,0,67.6,3.2,64.2
2021-09-16T17:07:02Z,45.023145,-110.2968457,119.4,0,64.6,0,35,1.6999999999999997,33.2,129.4,4.6,25.6,0,25.2,1.2,23.9
2021-10-17T03:36:06Z,45.023145,-110.2968457,113.3,0,2.4,54.1,19,2.9,16.1,132.8,0,6.4,66.7,13.6,0.6,12.9
2021-11-16T14:05:10Z,45.023145,-110.2968457,109.9,0,0,85.3,0,0,0,139.7,38.6,27.6,120.5,0,0,0
2021-12-17T00:34:14Z,45.023145,-110.2968457,109.9,0,0,219.7,0,0,0,139.7,0,0,172.1,0,0,0
2022-01-16T05:14:31Z,45.023145,-110.2968457,109.9,0,0,283,0,0,0,139.7,0,0,215.9,0,0,0
2022-02-15T15:43:35Z,45.023145,-110.2968457,109.9,0,0,398.9,0,0,0,139.7,0,0,281.8,0,0,0
2022-03-18T02:12:39Z,45.023145,-110.2968457,128.6,64.20000000000002,14.399999999999999,367.1,0,0,0,139.7,6.9,2.6,323.8,0,0,0
2022-04-17T12:41:43Z,45.023145,-110.2968457,139.7,173.1,13.5,267.4,0,0,0,139.7,35.3,5.6,345.1,0,0,0
2022-05-17T23:10:47Z,45.023145,-110.2968457,135.9,292.6,50,0,45.60000000000001,1.2,44.39999999999999,139.4,400.5,67.4,0,23.9,0,23.9
2022-06-17T09:39:51Z,45.023145,-110.2968457,132.90000000000003,11.7,96.20000000000002,0,70.4,1.6,68.70000000000002,130.2,2.5,34.3,0,66.3,4.1,62.3
2022-07-17T20:08:54Z,45.023145,-110.2968457,111.1,0,39.7,0,92.5,12.2,79.6,92,0,40.2,0,86.8,20.1,66.6
2022-08-17T06:37:58Z,45.023145,-110.2968457,104.80000000000001,0,63.3,0,73.9,8.099999999999998,65.8,78,0,50.3,0,72.8,16.5,56.1
2022-09-16T17:07:02Z,45.023145,-110.2968457,114.00000000000003,0,76.30000000000001,0,46.4,3.5999999999999996,42.400000000000006,77.5,0,36.2,0,39.3,11.1,27.9
2022-10-17T03:36:06Z,45.023145,-110.2968457,136.1,33.99999999999999,37.9,4.4,14.6,0.3,14.1,129.2,29.1,72.7,1.3,12.4,1,11.2
2022-11-16T14:05:10Z,45.023145,-110.2968457,139.4,8,1.1,63.5,0.5,0,0.5,138.9,10.4,1.2,105.8,0,0,0
2022-12-17T00:34:14Z,45.023145,-110.2968457,139.4,0,0,112.59999999999998,0,0,0,139.7,14.3,4.6,130.6,0,0,0
2023-01-16T05:14:31Z,45.023145,-110.2968457,139.4,0,0,141.2,0,0,0,139.7,0,0,194.5,0,0,0
2023-02-15T15:43:35Z,45.023145,-110.2968457,139.6,69.2,16.800000000000004,118.50000000000001,0,0,0,139.7,0,0,221.9,0,0,0
2023-03-18T02:12:39Z,45.023145,-110.2968457,139.7,15.4,1.9,168.3,0,0,0,139.7,77,17.8,231.2,0,0,0
2023-04-17T12:41:43Z,45.023145,-110.2968457,139.7,226.8,62.2,65.3,0,0,0,139.7,204.3,23.6,96.4,0,0,0
2023-05-17T23:10:47Z,45.023145,-110.2968457,137.8,90.1,52.9,0.6,38.5,0.3,38.3,138.6,153.6,71.8,0.4,27.9,0.2,27.7
2023-06-17T09:39:51Z,45.023145,-110.2968457,136.1,68.6,102.2,0,49.1,1.2,47.70000000000002,135.7,6.2,40.3,0,45.7,0.8,44.7
2023-07-17T20:08:54Z,45.023145,-110.2968457,129,7.900000000000001,75.90000000000002,0,82.6,2.9,79.89999999999999,113.2,0,28.5,0,79.1,11.8,67.2
2023-08-17T06:37:58Z,45.023145,-110.2968457,97.2,0,32.3,0,82.4,14.8,67,80.8,0,38.9,0,74,17.7,56.2
2023-09-16T17:07:02Z,45.023145,-110.2968457,97.1,21.7,76.5,0,30.9,8.599999999999998,22,70.9,0,21.6,0,37,11,25.9
2023-10-17T03:36:06Z,45.023145,-110.2968457,139.4,63.6,49.6,45.099999999999994,9.2,0,9.2,84.1,0,17.1,0,14.7,5,10.2
2023-11-16T14:05:10Z,45.023145,-110.2968457,139.7,56.7,8.2,57.599999999999994,0,0,0,99.1,0,6.2,70.6,0,0,0
2023-12-17T00:34:14Z,45.023145,-110.2968457,139.7,5.4,1.6999999999999997,127.4,0,0,0,107.8,0,0,114.1,0,0,0
2024-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,206.7,0,0,0,114.5,0,0,191.5,0,0,0
2024-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,255,0,0,0,115,0,0,227.4,0,0,0
2024-03-17T02:12:39Z,45.023145,-110.2968457,139.7,132.40000000000003,50.4,190.39999999999998,0,0,0,138.7,176.2,15.8,101.4,0,0,0
2024-04-16T12:41:43Z,45.023145,-110.2968457,139.4,239.5,40.4,0.4,8,0,7.900000000000001,139.4,177.9,54.2,2,12.2,0,12.2
2024-05-16T23:10:47Z,45.023145,-110.2968457,123.49999999999997,0.6,26.900000000000006,0,62.400000000000006,5.300000000000001,57.099999999999994,137,55.7,76.6,0,37.2,0.7,36.5
2024-06-16T09:39:51Z,45.023145,-110.2968457,101.8,0,45.7,0,84.4,14.8,69.6,126.7,26.4,56.8,0,72,5.7,66.3
2024-07-16T20:08:54Z,45.023145,-110.2968457,88,0,90.1,0,90.6,20,70.5,100.6,0,50.8,0,87.9,16.3,71.6
2024-08-16T06:37:58Z,45.023145,-110.2968457,87.8,0,25.9,0,74.2,19.4,54.8,79.5,0,40.6,0,73.3,17.8,55.7
2024-09-15T17:07:02Z,45.023145,-110.2968457,104.70000000000002,0,62,0,37.800000000000004,3.5,34.3,68.6,0,32.1,0,44.5,15.6,28.6
2024-10-16T03:36:06Z,45.023145,-110.2968457,128.1,7.1,44,0.4,16.9,1.2,15.600000000000001,91.5,0,26.5,9.2,14.3,2.5,11.6
2024-11-15T14:05:10Z,45.023145,-110.2968457,139.7,12.9,10.7,149.60000000000002,0.5,0,0.5,114.5,0,9.8,39,0,0,0
2024-12-16T00:34:14Z,45.023145,-110.2968457,139.7,10.2,2.2,215.09999999999997,0,0,0,123.3,0,0,103.2,0,0,0
2025-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,282.5,0,0,0,123.3,0,0,147.7,0,0,0
2025-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,332.6,0,0,0,124.6,0,4,205,0,0,0
2025-03-18T02:12:39Z,45.023145,-110.2968457,139.7,43.70000000000001,20.6,425,0,0,0,132.9,29.2,12,251.7,0,0,0
2025-04-17T12:41:43Z,45.023145,-110.2968457,139.7,238.5,26.200000000000003,256,0,0,0,139.7,146.1,15.9,178.2,0,0,0
2025-05-17T23:10:47Z,45.023145,-110.2968457,138.4,306.8,68.3,0,32.5,0.3,32,139.5,304.4,104.7,0,11.3,0,11.3
2025-06-17T09:39:51Z,45.023145,-110.2968457,127.2,8.8,55.499999999999986,0,73.1,3,69.8,131.1,47.2,69.3,0,68.2,4.7,63.8
2025-07-17T20:08:54Z,45.023145,-110.2968457,87.40000000000002,0,14,0,97.2,31.1,66.4,87.5,0,34.6,0,96.2,25,71.4
2025-08-17T06:37:58Z,45.023145,-110.2968457,47.70000000000002,0,14.6,0,94.7,51.89999999999999,42.599999999999994,59.1,0,32.6,0,80.6,33.5,47.1
2025-09-16T17:07:02Z,45.023145,-110.2968457,84.2,2.2,116.29999999999998,0,35.2,10.5,24.699999999999996,78.2,0,35.1,0,36.1,11.6,24.5
2025-10-17T03:36:06Z,45.023145,-110.2968457,138.9,113.2,28.6,0,11.3,0.1,11.099999999999998,93.7,0,21.1,0,11.6,3.4,8.1
2025-11-16T14:05:10Z,45.023145,-110.2968457,139.7,14.7,1.4,35.2,0,0,0,112.1,0,0,102.1,0.8,0.2,0.6
2025-12-17T00:34:14Z,45.023145,-110.2968457,139.7,3.5,3.5,147.1,0,0,0,113.3,0,1.8,146.9,0,0,0
2026-01-16T05:14:31Z,45.023145,-110.2968457,139.7,3.3,0.4,311.5,0,0,0,115.1,0,4.4,188.3,0,0,0
2026-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,368.8,0,0,0,118.3,0,0,288.5,0,0,0
2026-03-18T02:12:39Z,45.023145,-110.2968457,139.7,6.6,1.7999999999999998,417.4,0,0,0,121.8,15.4,5.2,291.5,0,0,0
2026-04-17T12:41:43Z,45.023145,-110.2968457,139.7,225.9,38.2,265.00000000000006,0,0,0,139.7,129.2,34.9,222.6,0,0,0
2026-05-17T23:10:47Z,45.023145,-110.2968457,135.2,293.1,64.79999999999998,0,45.9,1.6,44.49999999999999,139.3,304.8,94.1,2.8,19.6,0,19.5
2026-06-17T09:39:51Z,45.023145,-110.2968457,124.90000000000002,0,60.099999999999994,0,75.7,4.1,71.7,132.2,42.1,89.4,0,69.8,1.9,67.9
2026-07-17T20:08:54Z,45.023145,-110.2968457,102.4,0,32.5,0,93.1,19.700000000000003,73.30000000000001,130.6,14,89.3,0,84.6,3.1,81.8
2026-08-17T06:37:58Z,45.023145,-110.2968457,68.6,0,32.3,0,88.3,32.9,55.2,110,0,53.4,0,70.1,7.9,62.5
2026-09-16T17:07:02Z,45.023145,-110.2968457,48.9,0,11.6,0,56.8,31.200000000000003,25.6,127.5,0,39.9,0,32.2,1,30.9
2026-10-17T03:36:06Z,45.023145,-110.2968457,64.3,0,44.900000000000006,6.5,12.1,4.4,7.5,137.1,59,60.1,6.5,9,0.1,8.9
2026-11-16T14:05:10Z,45.023145,-110.2968457,100.9,0,0,41.6,0,0,0,139.7,15.8,1.3,59.1,0,0,0
2026-12-17T00:34:14Z,45.023145,-110.2968457,100.9,0,0,141.6,0,0,0,139.7,8.6,0.5,138.2,0,0,0
2027-01-16T05:14:31Z,45.023145,-110.2968457,100.9,0,0,212.8,0,0,0,139.7,2,2,166.8,0,0,0
2027-02-15T15:43:35Z,45.023145,-110.2968457,100.9,0,0,339.3,0,0,0,139.7,27.7,10.3,203.7,0,0,0
2027-03-18T02:12:39Z,45.023145,-110.2968457,129.69999999999996,19,2.7,358.5,0,0,0,139.7,85.7,24,206,0,0,0
2027-04-17T12:41:43Z,45.023145,-110.2968457,139.7,214.4,30.7,202.40000000000003,0,0,0,139.7,275.9,53.2,1.9,1.7,0,1.7
2027-05-17T23:10:47Z,45.023145,-110.2968457,138.70000000000002,261.2,74.89999999999998,0,29.4,0.2,29.300000000000004,139,83.4,75.4,0.6,23.1,0.2,22.9
2027-06-17T09:39:51Z,45.023145,-110.2968457,125.9,13.7,53.80000000000001,0,72.70000000000002,5.700000000000001,66.7,136.7,53.5,98.2,0,57.5,0.9,56.4
2027-07-17T20:08:54Z,45.023145,-110.2968457,86.89999999999999,0,39.9,0,95,21.8,72.9,124.6,3.7,69.1,0,83.9,5.7,77.8
2027-08-17T06:37:58Z,45.023145,-110.2968457,58.5,0,45.2,0,87.09999999999997,35.4,51.7,102,0,46.3,0,80.5,15.8,64.6
2027-09-16T17:07:02Z,45.023145,-110.2968457,106.4,0,90,0,34.39999999999999,1.4,32.9,119.7,0,47.9,20.8,30.2,2.5,28.1
2027-10-17T03:36:06Z,45.023145,-110.2968457,127.4,0,27.199999999999996,19.9,22,1.5,20.5,138.9,64.6,38.5,0.5,8.8,0,8.8
2027-11-16T14:05:10Z,45.023145,-110.2968457,136.8,17.6,8.8,143.4,0,0,0,139.7,39.1,18.3,21.9,0.3,0,0.3
2027-12-17T00:34:14Z,45.023145,-110.2968457,139.7,31,24,196.90000000000003,0,0,0,139.7,0,0,32.3,0,0,0
2028-01-16T05:14:31Z,45.023145,-110.2968457,139.7,92.09999999999997,38.4,217.89999999999998,0,0,0,139.7,0,0,60.4,0,0,0
2028-02-15T15:43:35Z,45.023145,-110.2968457,139.7,62.8,43.10000000000001,323.9999999999999,0,0,0,139.7,1.9,1.9,159.2,0,0,0
2028-03-17T02:12:39Z,45.023145,-110.2968457,139.7,11.6,7.900000000000001,431.9,0,0,0,139.7,23.4,10.8,283.6,0,0,0
2028-04-16T12:41:43Z,45.023145,-110.2968457,139.7,61.2,34.7,445,0,0,0,139.7,282.9,37.6,77.6,0,0,0
2028-05-16T23:10:47Z,45.023145,-110.2968457,138.2,481.9,56.89999999999999,0,28.9,0.3,28.4,138,179.5,96,0,38.4,0.3,37.9
2028-06-16T09:39:51Z,45.023145,-110.2968457,135.5,35.10000000000001,81.1,0,54.8,0.8,54,135.7,31,58.5,0,52.1,1.7,50
2028-07-16T20:08:54Z,45.023145,-110.2968457,105.7,0,45.60000000000001,0,84.5,12.4,72.4,118,21.2,103.8,0,94.4,8.3,85.9
2028-08-16T06:37:58Z,45.023145,-110.2968457,79.2,0,19.3,0,80.5,26.500000000000004,53.7,100.5,0,54,0,79,12.8,66.3
2028-09-15T17:07:02Z,45.023145,-110.2968457,59.2,0,22.5,0,50.60000000000001,18.3,32,115.1,0,26.5,0,31.8,4,27.8
2028-10-16T03:36:06Z,45.023145,-110.2968457,72.8,0,45.8,7.7,18.5,5.8,12.7,122.9,0,21.6,0,10.8,0.9,9.8
2028-11-15T14:05:10Z,45.023145,-110.2968457,118.1,0,3.8,109.3,1.2,0.2,1.1,137.9,14.6,2.1,10.8,2.6,0,2.6
2028-12-16T00:34:14Z,45.023145,-110.2968457,119.4,0,0,203.00000000000006,0,0,0,139.7,0,0,89.3,0,0,0
2029-01-16T05:14:31Z,45.023145,-110.2968457,119.4,0,0,350.5,0,0,0,139.7,1.9,1.6,119.4,0,0,0
2029-02-15T15:43:35Z,45.023145,-110.2968457,119.4,0,0,470.6,0,0,0,139.7,23.9,20.2,187.4,0,0,0
2029-03-18T02:12:39Z,45.023145,-110.2968457,121.5,0,3.3999999999999995,543.1,0,0,0,139.7,176.2,37.9,75.6,0,0,0
2029-04-17T12:41:43Z,45.023145,-110.2968457,138.4,169.60000000000002,37.800000000000004,461.4,0,0,0,139.1,165.6,73.5,1.8,15.6,0,15.5
2029-05-17T23:10:47Z,45.023145,-110.2968457,139.30000000000004,624.2,120.5,0,11,0.1,10.9,139.1,78.7,67,0.2,24,0,23.9
2029-06-17T09:39:51Z,45.023145,-110.2968457,133.7,13.100000000000001,58.4,0,55.7,1.4,54.3,138.1,31.2,80.8,0,52.2,0.1,51.9
2029-07-17T20:08:54Z,45.023145,-110.2968457,125.39999999999999,41,96.7,0,92.6,7,85.7,134,44.6,103.6,0,82.3,2.3,79.9
2029-08-17T06:37:58Z,45.023145,-110.2968457,92.99999999999999,0,69.9,0,78.2,16.9,61.3,95.8,0,15.7,0,70.7,17.3,54
2029-09-16T17:07:02Z,45.023145,-110.2968457,88.6,0,9.7,0,57.099999999999994,16.5,40.7,84.7,0,39.5,0,35.3,7.6,27.5
2029-10-17T03:36:06Z,45.023145,-110.2968457,82.5,0,31.5,13.900000000000002,21.499999999999993,6.4,14.8,116.5,0,5.2,19.5,4.2,0.7,3.6
2029-11-16T14:05:10Z,45.023145,-110.2968457,128.8,0,20.5,84,1.2,0.1,1,136.8,0,12.2,61,0,0,0
2029-12-17T00:34:14Z,45.023145,-110.2968457,137.10000000000002,62.1,14.9,108.9,0,0,0,139.3,3.2,0.3,142.3,0,0,0
2030-01-16T05:14:31Z,45.023145,-110.2968457,139.7,2.2,1.6999999999999997,180.90000000000003,0,0,0,139.7,0,0,204.5,0,0,0
2030-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,318.3,0,0,0,139.7,7.8,7.8,296.6,0,0,0
2030-03-18T02:12:39Z,45.023145,-110.2968457,139.7,1,1,379.80000000000007,0,0,0,139.7,2.5,2.5,371,0,0,0
2030-04-17T12:41:43Z,45.023145,-110.2968457,139.7,361.4,30.7,83.70000000000002,0,0,0,139.7,235.2,30.4,190.6,0,0,0
2030-05-17T23:10:47Z,45.023145,-110.2968457,136.29999999999998,103.1,66.4,9.8,48,0.7,47.2,137.1,274.1,67.5,0,28.8,1.2,27.5
2030-06-17T09:39:51Z,45.023145,-110.2968457,133.1,46.1,78.1,0,57.3,2.1000000000000005,54.900000000000006,134,12.9,86.9,0,65.6,1.3,64.2
2030-07-17T20:08:54Z,45.023145,-110.2968457,115,0,41.5,0,92.6,12.8,79.7,126.3,2.4,74.8,0,85.3,5.9,79.2
2030-08-17T06:37:58Z,45.023145,-110.2968457,72.8,0,16.999999999999996,0,86.8,34.7,52,105.7,0,35.3,0,78,12.9,65.4
2030-09-16T17:07:02Z,45.023145,-110.2968457,96.6,0,90.8,1.6999999999999997,31.299999999999997,8.8,22.4,111.3,0,69.3,0.1,39.4,5,34.3
2030-10-17T03:36:06Z,45.023145,-110.2968457,138.70000000000002,80.6,54.60000000000001,0,7.900000000000001,0,7.800000000000001,137.3,26.6,28.9,0.7,20.5,0,20.1
2030-11-16T14:05:10Z,45.023145,-110.2968457,139.5,16.9,17.1,59.6,2,0,2,139.6,12,7.3,58.1,0.9,0,0.9
2030-12-17T00:34:14Z,45.023145,-110.2968457,139.7,24,21.7,183.7,0,0,0,139.7,4.9,2.9,146.7,0,0,0
2031-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0.1,0.1,237.69999999999996,0,0,0,139.7,0,0,233.7,0,0,0
2031-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,320.79999999999995,0,0,0,139.7,44.2,11.5,242.9,0,0,0
2031-03-18T02:12:39Z,45.023145,-110.2968457,139.7,182.8,48.6,245.3,0,0,0,139.6,320.6,63.2,0,6.2,0,6.2
2031-04-17T12:41:43Z,45.023145,-110.2968457,139.7,251.5,36.4,107.5,0,0,0,139.2,78.6,72.9,1.9,5.7,0,5.7
2031-05-17T23:10:47Z,45.023145,-110.2968457,138.60000000000002,221,90.19999999999999,0,18.5,0.3,18.3,138.9,62.9,77.6,0,33.3,0.1,33
2031-06-17T09:39:51Z,45.023145,-110.2968457,134.2,28.100000000000005,83.2,0,65.1,1,64,137.7,56.5,103,0,49.1,0.2,48.7
2031-07-17T20:08:54Z,45.023145,-110.2968457,122.9,5.4,64,0,95,7.1,87.89999999999999,121.6,0,49.9,0,85.6,7.2,78.6
2031-08-17T06:37:58Z,45.023145,-110.2968457,79.7,0,19.8,0,78.5,25.2,52.9,91.9,0,32.1,0,75.6,16.4,58.5
2031-09-16T17:07:02Z,45.023145,-110.2968457,58.9,0,18.900000000000002,0,52.9,22.800000000000004,30.2,79.7,0,35.8,0,44.5,10,34.3
2031-10-17T03:36:06Z,45.023145,-110.2968457,63.5,0,39.9,20.6,20.6,9.7,11,124.8,3.2,64.7,0,14.1,0.8,13.5
2031-11-16T14:05:10Z,45.023145,-110.2968457,90.6,0,0,128.1,0,0,0,139.4,9.6,5.9,55.6,2,0,2
2031-12-17T00:34:14Z,45.023145,-110.2968457,90.6,0,0,226.1,0,0,0,139.6,2.4,2.5,156.7,0,0,0
2032-01-16T05:14:31Z,45.023145,-110.2968457,90.6,0,0,327.4,0,0,0,139.7,10.1,0,194.7,0,0,0
2032-02-15T15:43:35Z,45.023145,-110.2968457,91.5,0,0,334.9,0,0,0,139.7,22.5,13.2,272.6,0,0,0
2032-03-17T02:12:39Z,45.023145,-110.2968457,133.8,36.7,17.799999999999997,373.5,0,0,0,139.7,93.3,24.6,258.2,0,0,0
2032-04-16T12:41:43Z,45.023145,-110.2968457,139.7,143.4,16.199999999999996,270.7,0,0,0,139.3,336.2,54.8,0,13.3,0.1,13
2032-05-16T23:10:47Z,45.023145,-110.2968457,139.6,401.5,107.30000000000001,0.1,3.3,0,3.3,138.9,101.7,109.4,7.7,29.2,0.2,29.1
2032-06-16T09:39:51Z,45.023145,-110.2968457,136.40000000000003,79.8,154.70000000000002,0,77.6,0.8999999999999999,76.4,137.7,173.4,165.2,0,51.4,0.6,50.9
2032-07-16T20:08:54Z,45.023145,-110.2968457,110.5,1.3,46.3,0,103.29999999999998,12.7,91.09999999999998,104.9,0,40,0,96,15.6,80.7
2032-08-16T06:37:58Z,45.023145,-110.2968457,85.1,0,65,0,79,24.5,54.900000000000006,79.1,0,38.1,0,73,18.1,54.6
2032-09-15T17:07:02Z,45.023145,-110.2968457,101.50000000000003,0,33.60000000000001,0,39.5,6.4,33.10000000000001,98.1,0,67.8,14.7,36,6.5,29.6
2032-10-16T03:36:06Z,45.023145,-110.2968457,125.19999999999999,3.7,21.8,37,8.899999999999999,1.1,7.800000000000001,137.4,51.4,29.2,5,8.4,0,8.4
2032-11-15T14:05:10Z,45.023145,-110.2968457,139.7,49.3,3,39.1,0,0,0,139.7,29.6,6.5,57.5,0,0,0
2032-12-16T00:34:14Z,45.023145,-110.2968457,139.7,12.3,4.1,87.89999999999999,0,0,0,139.7,0,0,177.5,0,0,0
2033-01-16T05:14:31Z,45.023145,-110.2968457,139.7,7,0,143.8,0,0,0,139.7,2.2,0.9,236.5,0,0,0
2033-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,231,0,0,0,139.7,2.2,2.2,345.7,0,0,0
2033-03-18T02:12:39Z,45.023145,-110.2968457,139.7,118.6,34.5,192.80000000000004,0,0,0,139.7,42.9,13.6,342.6,0,0,0
2033-04-17T12:41:43Z,45.023145,-110.2968457,139.7,293.6,35.9,0.3,0,0,0,139.7,428.4,76.6,0,2.2,0,2.2
2033-05-17T23:10:47Z,45.023145,-110.2968457,138.1,67.1,112.8,0.1,50.199999999999996,0.3,49.7,138.3,73.1,81.7,0,29.5,0.1,29.5
2033-06-17T09:39:51Z,45.023145,-110.2968457,136.2,61.6,109.69999999999999,0,62.9,1,62.1,127.4,20.7,48.1,0,70.4,4.6,66
2033-07-17T20:08:54Z,45.023145,-110.2968457,122,0,68.6,0,89.1,5.6,83.2,98.7,0,43,0,80.9,14.2,66.4
2033-08-17T06:37:58Z,45.023145,-110.2968457,115.7,11.7,92.99999999999999,0,75,7.5,67.4,70.3,0,35.5,0,82.7,28.4,54.3
2033-09-16T17:07:02Z,45.023145,-110.2968457,132.2,17.799999999999997,53.2,0,50.5,2.2,48.3,73.6,0,28.6,0,49.3,18.1,31
2033-10-17T03:36:06Z,45.023145,-110.2968457,110.1,0,20,17.7,24.900000000000002,4.699999999999999,20.4,76.2,0,12.2,2.3,13.4,4.5,8.7
2033-11-16T14:05:10Z,45.023145,-110.2968457,137.7,33,5.8,11.7,0.8,0,0.8,84.9,0,0.2,33.6,1,0.2,0.8
2033-12-17T00:34:14Z,45.023145,-110.2968457,139.7,2.6,2.6,168.3,0,0,0,85.9,0,2.5,81.7,0,0,0
2034-01-16T05:14:31Z,45.023145,-110.2968457,139.7,0,0,226.5,0,0,0,87.6,0,0,124.9,0,0,0
2034-02-15T15:43:35Z,45.023145,-110.2968457,139.7,0,0,322.2,0,0,0,89.3,0,2,190.9,0,0,0
2034-03-18T02:12:39Z,45.023145,-110.2968457,139.7,4.200000000000001,3.9000000000000004,430.6,0,0,0,107.3,0,7.3,188.4,0,0,0
2034-04-17T12:41:43Z,45.023145,-110.2968457,139.7,224.80000000000004,23.4,294.6,0,0,0,139.3,182.2,21.4,71.8,0,0,0
2034-05-17T23:10:47Z,45.023145,-110.2968457,134.40000000000003,342.30000000000007,71,0,40.499999999999986,1.3,38.8,137.1,131.6,77.1,0,35,0.4,34.5
2034-06-17T09:39:51Z,45.023145,-110.2968457,123,0,56.1,0,80.8,6.3,74.80000000000001,131.9,20.3,58.2,0,62.4,2.6,59.8
2034-07-17T20:08:54Z,45.023145,-110.2968457,75.7,0,11,0,108.79999999999998,44.39999999999999,64.1,113.3,0,51.4,0,90.1,12,78.5
2034-08-17T06:37:58Z,45.023145,-110.2968457,40.2,0,28.3,0,88.1,46.49999999999999,41.3,79.9,0,27.6,0,74.6,23.2,51
2034-09-16T17:07:02Z,45.023145,-110.2968457,35.599999999999994,0,21.6,0,50.8,32.10000000000001,18.599999999999998,82.5,0,33.5,0,26.3,7.1,19.3
2034-10-17T03:36:06Z,45.023145,-110.2968457,60.7,0,36.6,1.2,23.799999999999997,8.8,15.1,104.9,0,31,2.2,21.8,4.9,16.8
2034-11-16T14:05:10Z,45.023145,-110.2968457,86.5,0,12.3,39.6,0.8999999999999999,0,0.8999999999999999,126.3,0,4.7,118.2,0,0,0
2034-12-17T00:34:14Z,45.023145,-110.2968457,95.3,0,0,116.1,0,0,0,131.3,0,0,214.1,0,0,0
2035-01-16T05:14:31Z,45.023145,-110.2968457,95.3,0,0,187.2,0,0,0,133.1,3.6,3.3,304.9,0,0,0
2035-02-15T15:43:35Z,45.023145,-110.2968457,95.3,0,0,233,0,0,0,139.7,0,0,348.3,0,0,0
2035-03-18T02:12:39Z,45.023145,-110.2968457,120.29999999999998,107.2,40.099999999999994,132.2,0,0,0,139.7,15.4,14.2,457.6,0,0,0
