date,lat,lon,soil_water_monthly,runoff_monthly,rain_monthly,accumswe_monthly,pet_monthly,deficit_monthly,aet_monthly
1980-01-16T05:14:31Z,44.95,-111.05,160.4,0,0,230.7,0,0,0
1980-02-15T15:43:35Z,44.95,-111.05,160.8,0,0.3,325.9,0,0,0
1980-03-17T02:12:39Z,44.95,-111.05,164.1,0,0.4,461.2,0,0,0
1980-04-16T12:41:43Z,44.95,-111.05,175.1,456.8,17.5,36.3,0,0,0
1980-05-16T23:10:47Z,44.95,-111.05,181.7,187.5,150.7,0.2,29.7,0.1,29.6
1980-06-16T09:39:51Z,44.95,-111.05,175.4,28.3,70,0,62.5,1.5,60.8
1980-07-16T20:08:54Z,44.95,-111.05,163.9,0,62.6,0,90.5,5.6,84.7
1980-08-16T06:37:58Z,44.95,-111.05,136.9,0,61.2,0,67.2,10,57
1980-09-15T17:07:02Z,44.95,-111.05,171.4,39.7,102.9,0,40.1,1.2,38.9
1980-10-16T03:36:06Z,44.95,-111.05,176.6,23.1,20.4,0,14.2,0.8,13.4
1980-11-15T14:05:10Z,44.95,-111.05,182.2,27.7,31.7,40.5,3.6,0,3.6
1980-12-16T00:34:14Z,44.95,-111.05,182.6,36.6,13.7,93.4,0,0,0
1981-01-16T05:14:31Z,44.95,-111.05,182.6,1.4,1.4,135.9,0,0,0
1981-02-15T15:43:35Z,44.95,-111.05,182.6,17.7,16.8,214.8,0,0,0
1981-03-18T02:12:39Z,44.95,-111.05,182.6,65.7,37.8,208.3,0,0,0
1981-04-17T12:41:43Z,44.95,-111.05,182.4,293.5,60.7,0,8.2,0,8.2
1981-05-17T23:10:47Z,44.95,-111.05,182.3,142,144.5,0,32.2,0,32.1
1981-06-17T09:39:51Z,44.95,-111.05,178,58.3,89.2,0,57.5,1,56.4
1981-07-17T20:08:54Z,44.95,-111.05,144.1,0,40.1,0,87.3,12.5,74.8
1981-08-17T06:37:58Z,44.95,-111.05,108.5,0,18.5,0,79.5,25.1,54.5
1981-09-16T17:07:02Z,44.95,-111.05,87.1,0,33.6,0,44.8,20.4,24.8
1981-10-17T03:36:06Z,44.95,-111.05,162.3,0.7,57.1,7.5,6.9,0.9,6
1981-11-16T14:05:10Z,44.95,-111.05,182.2,56.6,34.9,66.8,3.4,0,3.4
1981-12-17T00:34:14Z,44.95,-111.05,182.6,24.2,7.4,177.6,0,0,0
1982-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,324,0,0,0
1982-02-15T15:43:35Z,44.95,-111.05,182.6,37.6,24.3,370.4,0,0,0
1982-03-18T02:12:39Z,44.95,-111.05,182.6,20.4,19,536.5,0,0,0
1982-04-17T12:41:43Z,44.95,-111.05,182.6,132.6,49.6,533.1,0,0,0
1982-05-17T23:10:47Z,44.95,-111.05,182.6,607.8,79.1,8,0,0,0
1982-06-17T09:39:51Z,44.95,-111.05,173.3,53.9,64.8,0,57.1,2.7,54.5
1982-07-17T20:08:54Z,44.95,-111.05,160.9,0,76.7,0,85.6,5.8,80.1
1982-08-17T06:37:58Z,44.95,-111.05,131.2,0,41.8,0,81.3,14.8,66.8
1982-09-16T17:07:02Z,44.95,-111.05,143.8,12.1,78.5,8.1,32.9,7.1,25.5
1982-10-17T03:36:06Z,44.95,-111.05,182.2,67.7,54.4,18.4,4.5,0,4.5
1982-11-16T14:05:10Z,44.95,-111.05,182.6,2.1,1.6,112.3,0,0,0
1982-12-17T00:34:14Z,44.95,-111.05,182.6,0,0,243,0,0,0
1983-01-16T05:14:31Z,44.95,-111.05,182.6,2.4,2.2,304.7,0,0,0
1983-02-15T15:43:35Z,44.95,-111.05,182.6,12.9,9.4,416.1,0,0,0
1983-03-18T02:12:39Z,44.95,-111.05,182.6,78.4,41,469.8,0,0,0
1983-04-17T12:41:43Z,44.95,-111.05,182.6,131.2,9.4,406.7,0,0,0
1983-05-17T23:10:47Z,44.95,-111.05,182.2,491.6,63.3,0,8.2,0,8.2
1983-06-17T09:39:51Z,44.95,-111.05,178,22.8,84.8,0,59.5,0.5,58.7
1983-07-17T20:08:54Z,44.95,-111.05,172.9,63.2,115.6,0,84.5,2.9,81.4
1983-08-17T06:37:58Z,44.95,-111.05,143.9,0,56,0,82.4,10.6,71.5
1983-09-16T17:07:02Z,44.95,-111.05,145.3,23.8,93.4,0.8,33.9,4.3,29.7
1983-10-17T03:36:06Z,44.95,-111.05,181.9,68.7,56.2,0,10.2,0,10.2
1983-11-16T14:05:10Z,44.95,-111.05,182.6,44,43.6,113.7,0,0,0
1983-12-17T00:34:14Z,44.95,-111.05,182.6,0,0,233.9,0,0,0
1984-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,278.8,0,0,0
1984-02-15T15:43:35Z,44.95,-111.05,182.6,0,0,338.5,0,0,0
1984-03-17T02:12:39Z,44.95,-111.05,182.6,2.3,2.3,457.5,0,0,0
1984-04-16T12:41:43Z,44.95,-111.05,182.6,111.7,29.3,481.5,0,0,0
1984-05-16T23:10:47Z,44.95,-111.05,182.5,591.5,84.7,0,7.2,0,7.2
1984-06-16T09:39:51Z,44.95,-111.05,179.1,64.5,86.8,0,49.3,1.2,48.1
1984-07-16T20:08:54Z,44.95,-111.05,157.4,0,88.2,0,90.1,7.2,82.9
1984-08-16T06:37:58Z,44.95,-111.05,162.9,0,74.2,0,76.9,4.8,72.2
1984-09-15T17:07:02Z,44.95,-111.05,173.1,32.9,46.8,0,28.6,2,26.8
1984-10-16T03:36:06Z,44.95,-111.05,177.8,0,6.1,73.3,10.7,0,10.6
1984-11-15T14:05:10Z,44.95,-111.05,180.6,0,4.1,185.7,0,0,0
1984-12-16T00:34:14Z,44.95,-111.05,182.1,0,0,273.1,0,0,0
1985-01-16T05:14:31Z,44.95,-111.05,182.1,0,0,311.4,0,0,0
1985-02-15T15:43:35Z,44.95,-111.05,182.1,0,0,407.1,0,0,0
1985-03-18T02:12:39Z,44.95,-111.05,182.2,1,1.4,536.6,0,0,0
1985-04-17T12:41:43Z,44.95,-111.05,182.6,418.1,9.4,160.7,0,0,0
1985-05-17T23:10:47Z,44.95,-111.05,180.4,199.2,58.7,0,34.9,0.4,34.6
1985-06-17T09:39:51Z,44.95,-111.05,166.4,6.5,38.3,0,67.4,4.3,63
1985-07-17T20:08:54Z,44.95,-111.05,135.1,0,72.9,0,94.2,14.6,79.4
1985-08-17T06:37:58Z,44.95,-111.05,144,0,45.8,0,65.2,9.7,55.6
1985-09-16T17:07:02Z,44.95,-111.05,174.4,54.5,107.5,1.2,23.4,0.5,22.9
1985-10-17T03:36:06Z,44.95,-111.05,182,62.5,7.6,0.8,7.8,0,7.8
1985-11-16T14:05:10Z,44.95,-111.05,182.4,1,0.9,115.7,0.4,0,0.4
1985-12-17T00:34:14Z,44.95,-111.05,182.6,0,0,163.9,0,0,0
1986-01-16T05:14:31Z,44.95,-111.05,182.6,0.3,0,244.6,0,0,0
1986-02-15T15:43:35Z,44.95,-111.05,182.6,27.4,8.2,400.4,0,0,0
1986-03-18T02:12:39Z,44.95,-111.05,182.6,197.8,67.9,304.5,0,0,0
1986-04-17T12:41:43Z,44.95,-111.05,182.6,220.6,44.1,214.4,0,0,0
1986-05-17T23:10:47Z,44.95,-111.05,180.1,317.6,58.2,0,22.6,0.9,21.7
1986-06-17T09:39:51Z,44.95,-111.05,168.6,2.4,62.1,0,75.1,3.3,71.9
1986-07-17T20:08:54Z,44.95,-111.05,154.9,0,74.6,0,78.3,4.8,73.7
1986-08-17T06:37:58Z,44.95,-111.05,137.5,0,50.4,0,76.6,11.8,64.3
1986-09-16T17:07:02Z,44.95,-111.05,157.7,20.3,71,4.1,22.4,2.8,19.4
1986-10-17T03:36:06Z,44.95,-111.05,180.7,10.2,11.3,10.4,11,0,11
1986-11-16T14:05:10Z,44.95,-111.05,182.6,7.9,5.9,100.7,0,0,0
1986-12-17T00:34:14Z,44.95,-111.05,182.6,0,0,117,0,0,0
1987-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,194.1,0,0,0
1987-02-15T15:43:35Z,44.95,-111.05,182.6,0,0,243.7,0,0,0
1987-03-18T02:12:39Z,44.95,-111.05,182.6,58.2,18.4,264.3,0,0,0
1987-04-17T12:41:43Z,44.95,-111.05,181.6,285.7,17.7,0,13.7,0.1,13.5
1987-05-17T23:10:47Z,44.95,-111.05,176.3,81.2,118.4,0,42.1,1.2,40.8
1987-06-17T09:39:51Z,44.95,-111.05,170.4,5.4,45.4,0,73.8,3.5,70.2
1987-07-17T20:08:54Z,44.95,-111.05,168.2,52.5,142.3,0,82,3.8,77.9
1987-08-17T06:37:58Z,44.95,-111.05,160.8,0,65,0,67.7,6,61.6
1987-09-16T17:07:02Z,44.95,-111.05,153.4,0,15.7,0,44.1,5.7,38.2
1987-10-17T03:36:06Z,44.95,-111.05,140.2,0,4.7,0,18.3,3.7,14.5
1987-11-16T14:05:10Z,44.95,-111.05,151.4,0,12.5,45,1.7,0.1,1.5
1987-12-17T00:34:14Z,44.95,-111.05,153.7,0,0.9,129.7,0,0,0
1988-01-16T05:14:31Z,44.95,-111.05,154,0,0,217.6,0,0,0
1988-02-15T15:43:35Z,44.95,-111.05,154,0,0,283.9,0,0,0
1988-03-17T02:12:39Z,44.95,-111.05,161.2,0,16.5,364.9,0,0,0
1988-04-16T12:41:43Z,44.95,-111.05,182.1,430,88.8,51.1,0,0,0
1988-05-16T23:10:47Z,44.95,-111.05,176.8,109.5,75.6,0.3,40.7,1.5,39.2
1988-06-16T09:39:51Z,44.95,-111.05,153.1,2.9,18.6,0,85.6,12.2,73.5
1988-07-16T20:08:54Z,44.95,-111.05,102.4,0,18.6,0,97.9,35.2,62.4
1988-08-16T06:37:58Z,44.95,-111.05,69.5,0,13.4,0,76.8,40.6,36.4
1988-09-15T17:07:02Z,44.95,-111.05,62.3,0,28.3,0,35.3,19.9,15.3
1988-10-16T03:36:06Z,44.95,-111.05,76.8,0,13.5,0,24.4,11.9,12.4
1988-11-15T14:05:10Z,44.95,-111.05,85.4,0,6.8,165.7,0.6,0.4,0.3
1988-12-16T00:34:14Z,44.95,-111.05,86.1,0,0,232.9,0,0,0
1989-01-16T05:14:31Z,44.95,-111.05,86.1,0,0,347.2,0,0,0
1989-02-15T15:43:35Z,44.95,-111.05,86.1,0,0,404.2,0,0,0
1989-03-18T02:12:39Z,44.95,-111.05,135.4,0,26.8,504.2,0,0,0
1989-04-17T12:41:43Z,44.95,-111.05,180.5,382.4,45,183.1,0,0,0
1989-05-17T23:10:47Z,44.95,-111.05,181.7,258.8,86.4,0,21.6,0,21.5
1989-06-17T09:39:51Z,44.95,-111.05,178.1,7.9,59.8,0,65.2,1,63.8
1989-07-17T20:08:54Z,44.95,-111.05,142.5,0,41,0,99.9,13.3,86.6
1989-08-17T06:37:58Z,44.95,-111.05,121,0,57.1,0,68.7,13.4,55.5
1989-09-16T17:07:02Z,44.95,-111.05,126,0,38.8,0,40.2,8.2,31.7
1989-10-17T03:36:06Z,44.95,-111.05,177,10.3,50.8,24.2,10.4,0,10
1989-11-16T14:05:10Z,44.95,-111.05,182.6,48.3,6.1,50.7,0,0,0
1989-12-17T00:34:14Z,44.95,-111.05,182.6,0,0,115.3,0,0,0
1990-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,236.7,0,0,0
1990-02-15T15:43:35Z,44.95,-111.05,182.6,0,0,318.4,0,0,0
1990-03-18T02:12:39Z,44.95,-111.05,182.6,30.4,6.9,357.1,0,0,0
1990-04-17T12:41:43Z,44.95,-111.05,182.6,407.4,50.6,36,0,0,0
1990-05-17T23:10:47Z,44.95,-111.05,182.4,136.1,102.3,0,24.5,0,24.5
1990-06-17T09:39:51Z,44.95,-111.05,173.2,28.4,54.2,0,66,3.9,62.1
1990-07-17T20:08:54Z,44.95,-111.05,121.7,0,31.6,0,89.4,21.1,68.6
1990-08-17T06:37:58Z,44.95,-111.05,102.5,0,45,0,77.7,21.4,56.4
1990-09-16T17:07:02Z,44.95,-111.05,94.7,0,22.9,0,53,18.6,34.5
1990-10-17T03:36:06Z,44.95,-111.05,119,0,22.4,0.1,7,1.2,5.7
1990-11-16T14:05:10Z,44.95,-111.05,172.9,1.4,0.9,56.3,0.4,0,0.4
1990-12-17T00:34:14Z,44.95,-111.05,182.6,0,0,137.2,0,0,0
1991-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,197.3,0,0,0
1991-02-15T15:43:35Z,44.95,-111.05,182.6,7,0,221.2,0,0,0
1991-03-18T02:12:39Z,44.95,-111.05,182.6,0,0,367.4,0,0,0
1991-04-17T12:41:43Z,44.95,-111.05,182.6,163.7,37,344.6,0,0,0
1991-05-17T23:10:47Z,44.95,-111.05,182.4,495.4,129.2,0,7.7,0,7.7
1991-06-17T09:39:51Z,44.95,-111.05,166.1,17.7,52.7,0,66.7,3.4,63.1
1991-07-17T20:08:54Z,44.95,-111.05,135.2,0,41.5,0,93.2,15.9,76.9
1991-08-17T06:37:58Z,44.95,-111.05,108.8,0,50.3,0,82.6,19.4,63
1991-09-16T17:07:02Z,44.95,-111.05,132.2,0,60.9,0,40.2,8.1,31.9
1991-10-17T03:36:06Z,44.95,-111.05,141.5,0,13.7,83.2,15.1,3.7,11.5
1991-11-16T14:05:10Z,44.95,-111.05,148.1,0,0,200.2,0,0,0
1991-12-17T00:34:14Z,44.95,-111.05,148.1,0,0,268.9,0,0,0
1992-01-16T05:14:31Z,44.95,-111.05,148.1,0,0,301.8,0,0,0
1992-02-15T15:43:35Z,44.95,-111.05,149.3,0,3.5,380.9,0,0,0
1992-03-17T02:12:39Z,44.95,-111.05,181.4,128.4,26.7,270.1,0,0,0
1992-04-16T12:41:43Z,44.95,-111.05,182.2,370,64.4,0,7.5,0,7.5
1992-05-16T23:10:47Z,44.95,-111.05,174.7,17.4,70,0,51.5,1.5,49.9
1992-06-16T09:39:51Z,44.95,-111.05,177,58.6,121.7,0,67.8,0.9,66.7
1992-07-16T20:08:54Z,44.95,-111.05,174.3,25.6,75.3,0,77.9,2.5,75.1
1992-08-16T06:37:58Z,44.95,-111.05,131.8,0,20.1,0,72.8,14.7,58
1992-09-15T17:07:02Z,44.95,-111.05,157.4,0,68.9,0,35.8,2,33.7
1992-10-16T03:36:06Z,44.95,-111.05,178.2,19.7,40.1,8.6,14,0.4,13.4
1992-11-15T14:05:10Z,44.95,-111.05,182.6,0,0,104.4,0,0,0
1992-12-16T00:34:14Z,44.95,-111.05,182.6,0,0,237.3,0,0,0
1993-01-16T05:14:31Z,44.95,-111.05,182.6,0,0,335.5,0,0,0
1993-02-15T15:43:35Z,44.95,-111.05,182.6,0,0,409.4,0,0,0
1993-03-18T02:12:39Z,44.95,-111.05,182.6,99.8,23.1,388.9,0,0,0
1993-04-17T12:41:43Z,44.95,-111.05,182.6,139.5,76.4,408.5,0,0,0
1993-05-17T23:10:47Z,44.95,-111.05,181.2,480.4,89.1,0,28.3,0.2,28
1993-06-17T09:39:51Z,44.95,-111.05,178.8,72,102.2,0,45.5,0.9,44.6
1993-07-17T20:08:54Z,44.95,-111.05,175.1,43.5,109.7,0,64.6,1.7,62.8
1993-08-17T06:37:58Z,44.95,-111.05,176.9,9.4,73.3,0,62.1,0.8,61
1993-09-16T17:07:02Z,44.95,-111.05,165.6,0,16.5,0,37.6,2.9,34.7
1993-10-17T03:36:06Z,44.95,-111.05,175.9,12.4,32.9,4.4,11.1,0.6,10.3
1993-11-16T14:05:10Z,44.95,-111.05,181.7,0,0,43.1,0,0,0
1993-12-17T00:34:14Z,44.95,-111.05,181.7,0,0,121,0,0,0
1994-01-16T05:14:31Z,44.95,-111.05,181.7,0,0,205.3,0,0,0
1994-02-15T15:43:35Z,44.95,-111.05,181.7,0,0,322.9,0,0,0
1994-03-18T02:12:39Z,44.95,-111.05,182.6,81.8,5.5,290,0,0,0
1994-04-17T12:41:43Z,44.95,-111.05,182.6,364.9,33.9,2,1.5,0,1.5
1994-05-17T23:10:47Z,44.95,-111.05,180.1,36.5,77.6,0,48.8,0.5,48.3
